nom_clean,nom_gare,x,y,Trafic,Ville,ligne
ABBESSES,Abbesses,48.884849,2.338688,1513884.0,Paris,12
AIMECESAIRE,Aimé Césaire,48.908317,2.37802,0,Aubervilliers,12
ALESIA,Alésia,48.828333,2.326667,3098136.0,Paris,4
ALEXANDREDUMAS,Alexandre Dumas,48.855907,2.39479,2476608.0,Paris,2
ALMAMARCEAU,Alma—Marceau,48.864904,2.300234,2564842.0,Paris,9
ANATOLEFRANCE,Anatole France,48.892022,2.285536,2311825.0,Levallois-Perret,3
ANVERS,Anvers,48.883007,2.344849,3420749.0,Paris,2
ARGENTINE,Argentine,48.875278,2.29,2079212.0,Paris,1
ARTSETMETIERS,Arts et Métiers,48.8655,2.3561,2403042.0,Paris,3
ARTSETMETIERS,Arts et Métiers,48.8655,2.3561,2403042.0,Paris,11
ASSEMBLEENATIONALE,Assemblée Nationale,48.860655,2.32113,611512.0,Paris,12
AUBERVILLIERSPANTINQUATRECHEMINS,Aubervilliers—Pantin—Quatre Chemins,48.9039,2.3925,5616435.0,Aubervilliers,7
AVENUEEMILEZOLA,Avenue Émile Zola,48.846977,2.294512,1041233.0,Paris,10
AVRON,Avron,48.85194,2.397863,1345521.0,Paris,2
BAGNEUXLUCIEAUBRAC,Bagneux—Lucie Aubrac,48.8027,2.3173,0,Bagneux,4
BALARD,Balard,48.83597,2.278212,3236801.0,Paris,8
BARBARA,Barbara,48.8092,2.3176,0,Montrouge,4
BARBESROCHECHOUART,Barbès—Rochechouart,48.883611,2.350556,5390939.0,Paris,2
BARBESROCHECHOUART,Barbès—Rochechouart,48.883611,2.350556,5390939.0,Paris,4
BASILIQUEDESTDENIS,Basilique de Saint-Denis,48.93806,2.36083,3991395.0,Saint-Denis,13
BASTILLE,Bastille,48.853082,2.369077,8069243.0,Paris,1
BASTILLE,Bastille,48.853082,2.369077,8069243.0,Paris,5
BASTILLE,Bastille,48.853082,2.369077,8069243.0,Paris,8
BELAIR,Bel-Air,48.841344,2.400912,1605573.0,Paris,6
BELLEVILLE,Belleville,48.872083,2.376947,7314438.0,Paris,2
BELLEVILLE,Belleville,48.872083,2.376947,7314438.0,Paris,11
